ORGID,NODEID,xLon,yLat
1043,553,-73.99730360000,40.71933000000
1846,554,-73.98591390000,40.71933680000
757,555,-74.00187690000,40.71940580000
1465,556,-73.99132140000,40.71942050000
194,557,-74.01023870000,40.71944460000
1256,558,-73.99439050000,40.71945670000
476,559,-74.00613480000,40.71945860000
2162,560,-73.98191900000,40.71946480000
2318,561,-73.97957030000,40.71875340000
610,562,-74.00437020000,40.71948410000
840,563,-74.00062200000,40.71955200000
1470,564,-73.99124890000,40.71956240000
1795,565,-73.98675350000,40.71959140000
984,566,-73.99808910000,40.71959800000
1415,567,-73.99217460000,40.71968060000
495,568,-74.00595150000,40.71969630000
2077,569,-73.98279450000,40.71972990000
420,570,-74.00680000000,40.71978200000
964,571,-73.99852400000,40.71978600000
1422,572,-73.99210320000,40.71982160000
1733,573,-73.98754310000,40.71983090000
557,574,-74.00519340000,40.71985680000
1186,575,-73.99526000000,40.71986700000
2375,576,-73.97880040000,40.71988170000
1362,577,-73.99291780000,40.71990730000
711,578,-74.00258890000,40.71991600000
785,579,-74.00142500000,40.71993800000
285,580,-74.00858230000,40.71996190000
2000,581,-73.98385360000,40.71953850000
2014,582,-73.98362790000,40.71998230000
2382,583,-73.97872050000,40.72000080000
632,584,-74.00391460000,40.72003940000
930,585,-73.99906100000,40.72004400000
1365,586,-73.99284430000,40.72004650000
516,587,-74.00565910000,40.72007550000
1676,588,-73.98835900000,40.72007830000
1277,589,-73.99413210000,40.72009480000
202,590,-74.01012070000,40.72011730000
1128,591,-73.99603120000,40.72016560000
1946,592,-73.98446970000,40.72023730000
1293,593,-73.99398230000,40.72030480000
1620,594,-73.98911190000,40.72030660000
127,595,-74.01227550000,40.72033530000
734,596,-74.00222100000,40.72034100000
1280,597,-73.99411730000,40.72034560000
674,598,-74.00324960000,40.72038950000
2294,599,-73.97999140000,40.72039350000
456,600,-74.00641950000,40.72042440000
492,601,-74.00596610000,40.72037820000
879,602,-73.99986800000,40.72043220000
433,603,-74.00667100000,40.72045010000
1591,604,-73.98959030000,40.72045180000
1076,605,-73.99682120000,40.72048640000
1880,606,-73.98531640000,40.72049370000
1570,607,-73.98985710000,40.72053270000
659,608,-74.00348340000,40.72055700000
1209,609,-73.99496630000,40.72063160000
555,610,-74.00521980000,40.72063880000
291,611,-74.00846600000,40.72064560000
2215,612,-73.98131830000,40.72064930000
2417,613,-73.97823100000,40.72067400000
1036,614,-73.99734900000,40.72070500000
1833,615,-73.98615700000,40.72074830000
209,616,-74.01000690000,40.72076560000
1509,617,-73.99063220000,40.72076780000
2218,618,-73.98124530000,40.72077400000
1021,619,-73.99765500000,40.72083600000
837,620,-74.00064490000,40.72086340000
631,621,-74.00391840000,40.72086870000
1148,622,-73.99575030000,40.72089580000
2133,623,-73.98217850000,40.72090970000
1311,624,-73.99374640000,40.72093910000
1301,625,-73.99388150000,40.72097670000
1782,626,-73.98694800000,40.72098780000
2230,627,-73.98108140000,40.72102270000
553,628,-74.00524800000,40.72102500000
1455,629,-73.99148090000,40.72103020000
2139,630,-73.98211140000,40.72103680000
980,631,-73.99819600000,40.72106300000
505,632,-74.00584500000,40.72108300000
2061,633,-73.98302630000,40.72116630000
1095,634,-73.99657470000,40.72117360000
1719,635,-73.98776620000,40.72123510000
1410,636,-73.99223700000,40.72124800000
781,637,-74.00144700000,40.72125200000
2449,638,-73.97778800000,40.72127700000
2066,639,-73.98296200000,40.72129490000
1236,640,-73.99470140000,40.72131480000
304,641,-74.00834330000,40.72133010000
594,642,-74.00461750000,40.72136970000
931,643,-73.99903100000,40.72142100000
1998,644,-73.98386830000,40.72142120000
1033,645,-73.99739790000,40.72145090000
1666,646,-73.98851570000,40.72146260000
216,647,-74.00988180000,40.72146800000
176,648,-74.01068040000,40.72153080000
2006,649,-73.98379030000,40.72154620000
1009,650,-73.99778540000,40.72158150000
1629,651,-73.98899480000,40.72160770000
1327,652,-73.99349360000,40.72161850000
2676,653,-73.97477050000,40.72161930000
735,654,-74.00220800000,40.72162100000
1168,655,-73.99546040000,40.72162420000
141,656,-74.01177030000,40.72163430000
1319,657,-73.99362670000,40.72165870000
1931,658,-73.98470620000,40.72167480000
2262,659,-73.98060760000,40.72167830000
567,660,-74.00506470000,40.72167960000
1609,661,-73.98927270000,40.72169190000
546,662,-74.00532810000,40.72171390000
510,663,-74.00571810000,40.72175380000
880,664,-73.99985540000,40.72178910000
1935,665,-73.98463950000,40.72180390000
457,666,-74.00641280000,40.72181570000
2482,667,-73.97734600000,40.72188500000
542,668,-74.00536370000,40.72188800000
1864,669,-73.98552650000,40.72192310000
1553,670,-73.99004050000,40.72192470000
1116,671,-73.99626560000,40.72195240000
314,672,-74.00823090000,40.72198480000
695,673,-74.00297100000,40.72199500000
2029,674,-73.98344400000,40.72201900000
1869,675,-73.98545780000,40.72205220000
225,676,-74.00976590000,40.72213960000
1822,677,-73.98633250000,40.72216710000
1493,678,-73.99089480000,40.72218250000
836,679,-74.00065710000,40.72218280000
180,680,-74.01055780000,40.72221940000
544,681,-74.00535460000,40.72222740000
2287,682,-73.98015610000,40.72228100000
1826,683,-73.98625620000,40.72229450000
1051,684,-73.99712750000,40.72230370000
1345,685,-73.99322320000,40.72234560000
139,686,-74.01185440000,40.72235010000
642,687,-74.00376800000,40.72238400000
1336,688,-73.99335320000,40.72239080000
1448,689,-73.99164530000,40.72240890000
1764,690,-73.98716020000,40.72241760000
2509,691,-73.97689300000,40.72249800000
1770,692,-73.98709320000,40.72254840000
787,693,-74.00140710000,40.72255110000
463,694,-74.00630910000,40.72255960000
322,695,-74.00811870000,40.72264410000
1709,696,-73.98790840000,40.72264410000
996,697,-73.99797460000,40.72266910000
2064,698,-73.98296400000,40.72267100000
1273,699,-73.99415300000,40.72272300000
605,700,-74.00443540000,40.72274170000
1715,701,-73.98784090000,40.72277530000
228,702,-74.00965100000,40.72279450000
1355,703,-73.99304770000,40.72281720000
1659,704,-73.98856680000,40.72284730000
1348,705,-73.99317970000,40.72285510000
186,706,-74.01044960000,40.72287290000
2311,707,-73.97971550000,40.72288410000
423,708,-74.00676770000,40.72288540000
1642,709,-73.98880330000,40.72291500000
737,710,-74.00217540000,40.72292830000
1662,711,-73.98854420000,40.72298990000
143,712,-74.01171880000,40.72299940000
568,713,-74.00506230000,40.72300230000
1854,714,-73.98575200000,40.72300900000
943,715,-73.99881200000,40.72302100000
1215,716,-73.99490900000,40.72303600000
